"uID","Scheme","TotalLogs","SuccLogs","FailLogs", "TotalLogTime", "SuccLogTime","FailLogTime", "PasswordsCreated", "NumPractices", "TotalTestTimes","SuccessfulTestTimes", "UnsuccessfulTestTimes"
ast103,testtextrandom,14,13,1,175,158,17,4,6,"4,4,3,24,14,5,54,25,12,4,3,4,2,17","4,4,3,24,14,5,54,25,12,4,3,4,2","17"
ast104,testtextrandom,14,13,1,163,149,14,8,6,"11,21,10,9,10,13,8,14,9,7,11,9,17,14","11,21,10,9,10,13,8,14,9,7,11,9,17","14"
ast105,testtextrandom,11,9,2,82,65,17,4,7,"6,6,8,6,7,8,12,7,5,13,4","6,6,8,6,7,8,12,7,5","13,4"
ast107,testtextrandom,18,12,6,94,61,33,3,6,"7,3,4,9,3,4,7,6,3,3,7,5,3,4,3,5,14,4","7,3,4,9,3,4,7,6,3,3,7,5","3,4,3,5,14,4"
ast108,testtextrandom,15,15,0,44,44,0,5,7,"3,3,7,2,3,3,2,3,3,2,2,3,2,3,3","3,3,7,2,3,3,2,3,3,2,2,3,2,3,3",""
ast111,testtextrandom,9,9,0,228,228,0,8,6,"10,7,5,9,9,164,7,10,7","10,7,5,9,9,164,7,10,7",""
ast112,testtextrandom,12,12,0,96,96,0,3,6,"11,7,6,13,7,7,10,7,6,7,6,9","11,7,6,13,7,7,10,7,6,7,6,9",""
ast114,testtextrandom,17,12,5,192,138,54,5,6,"13,8,7,12,11,10,9,11,8,19,22,8,12,14,10,7,11","13,8,7,12,11,10,9,11,8,19,22,8","12,14,10,7,11"
ast115,testtextrandom,12,12,0,128,128,0,3,6,"8,11,6,17,15,12,14,8,9,15,7,6","8,11,6,17,15,12,14,8,9,15,7,6",""
ast116,testtextrandom,12,12,0,69,69,0,4,6,"4,4,4,9,6,8,6,6,6,6,5,5","4,4,4,9,6,8,6,6,6,6,5,5",""
ast118,testtextrandom,12,12,0,88,88,0,4,6,"6,10,6,7,8,8,6,8,7,7,5,10","6,10,6,7,8,8,6,8,7,7,5,10",""
ast125,testtextrandom,14,12,2,87,75,12,5,6,"5,4,5,15,4,6,6,6,3,4,4,13,4,8","5,4,5,15,4,6,6,6,3,4,4,13","4,8"
ast131,testtextrandom,18,12,6,274,142,132,3,7,"8,18,24,29,8,13,9,6,7,7,7,6,10,8,7,48,9,50","8,18,24,29,8,13,9,6,7,7,7,6","10,8,7,48,9,50"
ast133,testtextrandom,6,6,0,84,84,0,3,6,"14,13,7,19,23,8","14,13,7,19,23,8",""
ast134,testtextrandom,12,12,0,94,94,0,3,6,"15,5,5,5,4,5,13,11,9,5,6,11","15,5,5,5,4,5,13,11,9,5,6,11",""
ast135,testtextrandom,0,0,0,0,0,0,4,6,"","",""
ast136,testtextrandom,12,12,0,116,116,0,3,6,"21,8,9,7,7,8,7,11,9,8,14,7","21,8,9,7,7,8,7,11,9,8,14,7",""
ast138,testtextrandom,13,13,0,210,210,0,3,6,"11,12,18,12,17,31,14,16,13,16,24,11,15","11,12,18,12,17,31,14,16,13,16,24,11,15",""
ipt101,testpasstiles,23,13,10,336,139,197,5,7,"12,11,15,12,10,11,10,10,9,9,10,9,11,16,7,31,15,16,18,19,46,7,22","12,11,15,12,10,11,10,10,9,9,10,9,11","16,7,31,15,16,18,19,46,7,22"
ipt104,testpasstiles,9,9,0,212,212,0,6,4,"34,22,25,20,15,30,26,21,19","34,22,25,20,15,30,26,21,19",""
ipt105,testpasstiles,19,12,7,208,109,99,4,11,"6,7,33,7,10,8,5,6,6,9,6,6,11,18,6,6,17,13,28","6,7,33,7,10,8,5,6,6,9,6,6","11,18,6,6,17,13,28"
ipt106,testpasstiles,13,12,1,298,289,9,8,16,"14,18,4,17,19,15,13,149,12,10,7,11,9","14,18,4,17,19,15,13,149,12,10,7,11","9"
ipt109,testpasstiles,12,12,0,295,295,0,6,2,"16,12,13,36,28,53,28,21,21,16,16,35","16,12,13,36,28,53,28,21,21,16,16,35",""
ipt110,testpasstiles,13,12,1,255,140,115,5,4,"14,13,9,10,7,10,18,11,9,12,12,15,115","14,13,9,10,7,10,18,11,9,12,12,15","115"
ipt113,testpasstiles,26,14,12,258,157,101,7,8,"4,72,9,5,3,13,4,4,10,8,9,7,4,5,12,12,12,12,3,3,5,4,10,11,11,6","4,72,9,5,3,13,4,4,10,8,9,7,4,5","12,12,12,12,3,3,5,4,10,11,11,6"
